Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
11,tt0139593,2014-08-20,2014-08-20,"10. Scoundrels       Command Video. D: Cecil Howard. Lisa Be, Chelsea Manchester, Ron Jeremy, Others. (1983) Winner of AVN's very first Best Film award in 1983, this could be the great Cecil Howard's top film. The moral symbolism and soul-searching drama is astounding. So is the sex, such as a classic erotic moment between Lisa Be and a considerably trimmer Ron Jeremy. A sexual psychodrama, this is a true underrated classic. ~AVN","Scoundrels","Scoundrels",https://www.imdb.com/title/tt0139593/,Movie,5.6,90,1982,"Adult, Drama",273,1988-01-23,"Cecil Howard, Fred J. Lincoln",,
12,tt0090939,2014-08-20,2014-08-20,"11. The Devil in Miss Jones Parts 3 & 4      VCA Pictures. D: Gregory Dark. Lois Ayres, Vanessa Del Rio, Amber Lynn, Jack Baker, Others. (1986) Stroke for stroke, the greatest porn opus of the 1980s, one that took hardcore (Hell - sorry - what even passed for hardcore prior to it?)to new filthier depths, promised all sorts of squalid porn possibilities in the future and influenced just about everything that came after it. Steeped in Greg Dark's inimitable whacked-out sensibilities, DMJ3&4 offers up slab after slab of scalding sex, including Vanessa Del Rio's cum flying gang bang, a young Amber Lynn's driving double pussy penetration, a monster Lois Ayres facial and Pattie Petite's twin black dong spit-roasting. After the DMJ3&4, the porn landscape would forever, unalterably be changed for the uh, darker. Part 3 won AVN's 1986 Best Film honors. ~AVN","The Devil in Miss Jones 3: A New Beginning","The Devil in Miss Jones 3: A New Beginning",https://www.imdb.com/title/tt0090939/,Movie,5.9,76,1986,"Adult, Comedy, Fantasy, Horror",307,1986-11,"Gregory Dark",,
13,tt0124382,2014-08-20,2014-08-20,"11. The Devil in Miss Jones Parts 3 & 4      VCA Pictures. D: Gregory Dark. Lois Ayres, Vanessa Del Rio, Amber Lynn, Jack Baker, Others. (1986) Stroke for stroke, the greatest porn opus of the 1980s, one that took hardcore (Hell - sorry - what even passed for hardcore prior to it?)to new filthier depths, promised all sorts of squalid porn possibilities in the future and influenced just about everything that came after it. Steeped in Greg Dark's inimitable whacked-out sensibilities, DMJ3&4 offers up slab after slab of scalding sex, including Vanessa Del Rio's cum flying gang bang, a young Amber Lynn's driving double pussy penetration, a monster Lois Ayres facial and Pattie Petite's twin black dong spit-roasting. After the DMJ3&4, the porn landscape would forever, unalterably be changed for the uh, darker. Part 3 won AVN's 1986 Best Film honors. ~AVN","The Devil in Miss Jones 4: The Final Outrage","The Devil in Miss Jones 4: The Final Outrage",https://www.imdb.com/title/tt0124382/,Movie,5.7,66,1986,"Adult, Comedy, Fantasy, Horror",268,1986,"Gregory Dark",,
14,tt0080927,2014-08-20,2014-08-20,"12. Insatiable      Caballero Home Video. D: Godfrey Daniels. Marilyn Chambers, Jessie St. James, John Holmes, Others. (1980) This late-golden age offering will remind veteran viewers of days, and production values, gone by. Marilyn Chambers plays a pampered and well-to-do starlet on her way to stardom, with a sexual desire that just won't quit. Opening with Chambers' masturbation scene and following with a series of flashbacks and encounters, her character reveals herself as a creature that knows no limits to her wants and needs. The final encounter between Marilyn and John Holmes will leave jaded porn fans with a scene they will not forget. ~AVN","Insatiable","Insatiable",https://www.imdb.com/title/tt0080927/,Movie,6.3,77,1980,"Adult, Drama",701,1980-05-23,"Stu Segall",,
15,tt0160235,2014-08-20,2014-08-20,"13. Drop Sex      John Leslie Productions/Evil Angel. D: John Leslie. Kimberly Jade, Mikki Malone, Valentino, Others. (1997) Selecting the best of John Leslie is a bit like selecting the best of John Coltrane - there's just so much outstanding product from the two masters, it's difficult to choose (the analogy isn't that big of a stretch; Leslie, as anyone who has ever listened to one of his soundtracks knows, is a die-hard jazz lover). But the overall excellence of Drop Sex makes it a no-brainer for inclusion on this list. Scorching our eyeballs with nasty, fetish-tinged sex from first frame to last and wrapping it in a breath-taking Oliver Stone-like visual tapestry, Leslie, with Drop Sex, achieves that virtually unheard-of porn standard of rendering the fast-forward button a useless adjunct. ~AVN","Drop Sex","Drop Sex",https://www.imdb.com/title/tt0160235/,Video,4.0,130,1997,"Adult",31,,"John Leslie",,
16,tt0077415,2014-08-20,2014-08-20,"14. Debbie Does Dallas      VCX. D: Gerard Damiano. Bambi Woods, R. Bolla, Others. (1982) Along with Bad Girls, one of the great tease movies in that we don't get to see sultry, sexy Bambi Woods get down and dirty until the film's final sex scene, one of the very best in adult history. A classic of its time. ~AVN","Debbie Does Dallas","Debbie Does Dallas",https://www.imdb.com/title/tt0077415/,Movie,5.8,80,1978,"Adult, Comedy",3110,1978-11-19,"Jim Buckley",,
17,tt0083707,2014-08-20,2014-08-20,"15. Café Flesh      VCA Pictures. D: Rinse Dream. Pia Snow, Marie Sharp, Kevin James, Others. (1982) The apocalypse has rendered most of its survivors sex negatives, who are unable to fu*k without getting violently ill. The minority are sex positives, and forced to perform at a bizarre nightclub for the angry, celibate masses. Jerry Stahl (Permanent Midnight)wrote this stylish cult classic under the pseudonym Herbert W. Day. The film won an AVN Award for Best Art Direction. ~AVN","Café Flesh","Café Flesh",https://www.imdb.com/title/tt0083707/,Movie,6.2,74,1982,"Adult, Comedy, Drama, Horror, Sci-Fi",1092,1982,"Stephen Sayadian, Mark S. Esposito",,
18,tt0127862,2014-08-20,2014-08-20,"16. Sex World      VCX. D: Anthony Spinelli. Annette Haven, John Leslie, Kay Parker, Leslie Bovee, Cris Cassidy. (1978) One of the few adult films to truly deserve the much-abused term classic, Anthony Spinelli's '70s opus centers on an irresistible Westworld-meets-Behind the Green Door concept. Visitors to the eponymous sex-therapy resort act out a wide variety of desires with their fantasy mates. All-star cast, superior production values and John Leslie's funniest acting performance, truly make this one for the ages. ~AVN","SexWorld","SexWorld",https://www.imdb.com/title/tt0127862/,Movie,6.1,90,1978,"Adult, Horror, Sci-Fi",659,1978-07-01,"Anthony Spinelli",,
19,tt0089680,2014-08-20,2014-08-20,"17. New Wave Hookers      VCA Pictures. D: Gregory Dark. Ginger Lynn, Kristara Barrington, Jack Baker, Others. (1985) Funny, bizarre and most importantly, extremely raunchy, New Wave Hookers was to the adult industry a blast of fresh - no, make that filthy - air, defying convention, opening up all sorts of new possibilities and spawning numerous imitators. Essential desert island '80s porn, the film is load-launching throughout, including, perhaps, most notably, during a classic Ginger Lynn d.p. Its immortality wasn't hurt by the fact that it had to be reedited to cut out a searing appearance by an underage Traci Lords. Apparently way ahead of its time, NWH didn't win any major AVN Awards, having to settle for Best Packaging. ~AVN","New Wave Hookers","New Wave Hookers",https://www.imdb.com/title/tt0089680/,Movie,6.4,90,1985,"Adult, Comedy, Fantasy",724,1986-11-25,"Gregory Dark",,
20,tt0069969,2014-08-20,2014-08-20,"18. The Devil in Miss Jones      VCX. D: Gerard Damiano. Georgina Spelvin, Harry Reems, Others. (1972) Ask your average Joe on the street which adult films he knows, and he'll tell you about the top three early '70s classics: The Devil in Miss Jones, Deep Throat and Behind the Green Door. Opens with a long suicide sequence, as virginal spinster Justine Jones (Georgina Spelvin)kills herself in her bathtub, then goes to hell, meets devil Harry Reems, and is forced to endure multiple sexual experiences with no release. Features an intense double penetration scene and one of the most disturbing endings in porn history. ~AVN","The Devil in Miss Jones","The Devil in Miss Jones",https://www.imdb.com/title/tt0069969/,Movie,6.2,67,1973,"Adult, Drama, Fantasy, Horror",1751,1973-08-24,"Gerard Damiano",,
21,tt0161555,2014-08-20,2014-08-20,"19. Face Dance, Parts 1 & 2      Evil Angel Video. D: John Stagliano. Tyffany Million, Tiffany Mynx, Rocco Siffredi, Others. (1992) AVN's 1992 Best Film, Face Dance is The Ten Commandments of porn, a spectacle which staggers the senses and occasionally amuses with its own self importance. Featuring a huge cast that was a virtual who's who of the early '90s smut biz, Face Dance 1 & 2 is the sexual equivalent of two cordon bleu seven-course meals, offering up one sizzling sex scene after another. They include, perhaps most notably, the now-classic Blindfold Butt Orgy which garnered Best Couples Sex Scene honors that year. With the possible exception of 1997's Buda, this is the great Stagliano's most ambitious project, one whose breathtaking vision won the Buttman AVN's 1992 Best Director - Film Award. ~AVN","Face Dance","Face Dance",https://www.imdb.com/title/tt0161555/,Video,7.2,120,1992,"Adult",144,,"John Stagliano",,
22,tt0161556,2014-08-20,2014-08-20,"19. Face Dance, Parts 1 & 2      Evil Angel Video. D: John Stagliano. Tyffany Million, Tiffany Mynx, Rocco Siffredi, Others. (1992) AVN's 1992 Best Film, Face Dance is The Ten Commandments of porn, a spectacle which staggers the senses and occasionally amuses with its own self importance. Featuring a huge cast that was a virtual who's who of the early '90s smut biz, Face Dance 1 & 2 is the sexual equivalent of two cordon bleu seven-course meals, offering up one sizzling sex scene after another. They include, perhaps most notably, the now-classic Blindfold Butt Orgy which garnered Best Couples Sex Scene honors that year. With the possible exception of 1997's Buda, this is the great Stagliano's most ambitious project, one whose breathtaking vision won the Buttman AVN's 1992 Best Director - Film Award. ~AVN","Face Dance Part Two","Face Dance Part Two",https://www.imdb.com/title/tt0161556/,Video,6.9,140,1992,"Adult",136,,"John Stagliano",,
23,tt0139875,2014-08-20,2014-08-20,"20. Bad Wives      Vivid Entertainment Group. D: Paul Thomas. Dyanna Lauren, Melissa Hill, Missy, Stephanie Swift, Tricia Devereaux, Steven St. Croix, Tony Tedeschi, Others. (1997) St. Croix is pretty good at keeping his women... frozen. So it's not too surprising that bored housewives Lauren and Hill fall for, and fantasize about, him - but little do they know that he's much more than he seems. Great story, volcanic sex and high production values will keep this selling for years. Bad Wives pretty much swept the AVN Awards in '97, including Best Film, Best Screenplay, St. Croix for Best Actor, Lauren for Best Actress, both of them for Best Anal Scene, and Hill for Best Supporting. ~AVN","Bad Wives","Bad Wives",https://www.imdb.com/title/tt0139875/,Video,6.1,147,1997,"Adult, Drama",151,1997-09-29,"Paul Thomas",,
24,tt0081593,2014-08-20,2014-08-20,"21. Taboo      VCX. D: Kirdy Stevens. Kay Parker, Juliet Anderson, Dorothy LeMay, Brooke West, Holly McCall, Others. (1980) Parker plays a typical housewife... except for the fact that hubby has gone bye-bye, and she's a bit starved for horizontal affection... and she starts to notice how buff her son is looking. In the meantime, she discovers that there's plenty of sex going on around her... and her inhibitions start to dissolve in a sea of lust that can have only one climax. AVN wasn't around when Taboo first came out, but the direction, Parker's acting and the professional soundtrack would likely have taken awards. ~AVN","Taboo","Taboo",https://www.imdb.com/title/tt0081593/,Movie,6.9,86,1980,"Adult, Drama",2077,1980-03-07,"Kirdy Stevens",,
25,tt0392900,2014-08-20,2014-08-20,"22. The Voyeur 5      John Leslie Productions/Evil Angel. D: John Leslie. Kymberly Kyle, Sid Deuce, Peter North, Others. (1995) Arguably the best all-time volume of arguably the best all-time line from arguably the best all-time director. This sucker explodes with super-strokable sex scene after sex scene such as a blistering Sapphic threeway in which the strap-on wielding duo of Madelyn Knight and Caressa Savage stuff Missy's *beep* and sh*tter and a scalding hetero menage-a-trois in which Peter North does much the same to Kymberly Kyle and Natalie Tizara. Voyeur 5 was instrumental in Leslie's flagship line nabbing AVN's 1995 Best Gonzo series honors, demonstrating once and for all that sex is a spectator sport. ~AVN","The Voyeur 5","The Voyeur 5",https://www.imdb.com/title/tt0392900/,Video,6.8,122,1995,"Adult",116,1995,"John Leslie",,
26,tt0081596,2014-08-20,2014-08-20,"23. Talk Dirty To Me      Dreamland Entertainment. D: Anthony Spinelli. Juliet Anderson, Chris Cassidy, Jesie St. James, Sharon Kane, John Leslie, Richard Pacheco, Others. (1980) This Golden Age classic casts John Leslie as the hip womanizer and Pacheco (AVN's first Best Supporting Actor winner)as his slower-witted sidekick. Leslie boffs Dr. Cassidy, housewife St. James, and realtor Anderson, and even Pacheco gets a b.j. But the film's prime assets are terrific characterizations by Leslie and Pacheco, top-notch direction by a master (Anthony Spinelli of course)and a script by his son. ~AVN","Talk Dirty to Me","Talk Dirty to Me",https://www.imdb.com/title/tt0081596/,Movie,6.5,80,1980,"Adult, Comedy, Drama",275,1980-11-21,"Anthony Spinelli",,
27,tt0134527,2014-08-20,2014-08-20,"24. Chameleons - Not The Sequel      VCA Pictures. D: John Leslie. Diedre Holland, Ashlyn Gere, Rocco Siffredi, P.J. Sparxx, Others. (1992) In what is perhaps his best film for VCA, director Leslie returns to a timeless theme he's used successfully in the past: sexual desire so boundless that it transcends appearance and even gender to satisfy itself. Holland and Siffredi are the masters of the art; Gere the neophyte - for which she won the Best Actress trophy (she also won Female Performer that year)and for which she and Holland shared Best All-Girl Sex Scene honors. Other awards include Best Editing, Best Music and Best-Renting and -Selling Tape of the Year. ~AVN","Chameleons","Chameleons",https://www.imdb.com/title/tt0134527/,Video,6.5,98,1992,"Adult, Drama, Fantasy, Sci-Fi",142,1992-05-12,"John Leslie",,
28,tt0161318,2014-08-20,2014-08-20,"25. The Bottom Dweller      Elegant Angel Video. D: Patrick Collins. Lacy Rose, Wendy Whoppers, Tom Byron, Others. (1993) Quintessential smut from the raunch-ridden mind of Patrick Collins, one of the finest modern sex directors, The Bottom Dweller is funny and more importantly, seriously whackable from start to finish, be it the sweltering Summer Knight/Tawny opener, the sordid Roscoe Bowltree (Collins)/Lacy Rose/Tom Byron rectal reaming or the hard, nasty Bowltree/Wendy Whoppers titty cum covering. AVN's 1993 Best All-Sex Video. ~AVN","The Bottom Dweller","The Bottom Dweller",https://www.imdb.com/title/tt0161318/,Video,4.9,135,1993,"Adult",103,1993,"Patrick Collins",,
29,tt0157204,2014-08-20,2014-08-20,"26. Zazel      Cal Vista Film/Metro, Inc. D: Philip Mond. Sasha Vinni, Gina LaMarca, Anna Romeo, Grace Harlow, Lené Hefner, Nikie St. Gilles. (1997) A breakthrough film in several ways, Zazel focuses almost as much on sensual imagery as it does on sexual heat. Ostensibly about the search for the perfect perfume, star Vinni watches and participates in encounters ranging from the angelic to the demonic, in settings whose beauty rivals that of the performers - among them, several Penthouse Pets. Perhaps the most beautiful XXX film ever made... and the perfect couples vehicle. The film won awards for Best All-Sex Film, Best Cinematography, Best Art Direction, Best Editing, Best Group Sex Scene, Best Overall Marketing Campaign and Best Selling Tape of the Year. ~AVN","Zazel: Philip Mond's Scent of Love","Zazel: Philip Mond's Scent of Love",https://www.imdb.com/title/tt0157204/,Video,7.0,125,1997,"Adult",317,1997-08-11,"Philip Mond",,
30,tt0111134,2014-08-20,2014-08-20,"27. Sex/Sex 2      VCA Pictures. D: Michael Ninn. Sunset Thomas, Tyffany Million, Gerry Pike, Jon Dough, Others. (1994/95) There may never, ever be a perfect adult film, our original 10 review crowed, but Sex comes as relentlessly close to the technically flawless pinnacle of eclectic, sexual cinematic expression as one can possibly hope to imagine. Those words ring just as true today as they did back in October 1994. And they apply damn near just as well to Sex 2. If Michael Ninn's entire directorial output were limited to only these two films plus Shock/Latex, which came out a year later, he'd still be a virtual lock for our Hall of Fame. Sex was AVN's 1994 Best Film. ~AVN","Sex","Sex",https://www.imdb.com/title/tt0111134/,Video,5.6,112,1994,"Adult",152,1994-07-07,"Michael Ninn",,
31,tt0127839,2014-08-20,2014-08-20,"27. Sex/Sex 2      VCA Pictures. D: Michael Ninn. Sunset Thomas, Tyffany Million, Gerry Pike, Jon Dough, Others. (1994/95) There may never, ever be a perfect adult film, our original 10 review crowed, but Sex comes as relentlessly close to the technically flawless pinnacle of eclectic, sexual cinematic expression as one can possibly hope to imagine. Those words ring just as true today as they did back in October 1994. And they apply damn near just as well to Sex 2. If Michael Ninn's entire directorial output were limited to only these two films plus Shock/Latex, which came out a year later, he'd still be a virtual lock for our Hall of Fame. Sex was AVN's 1994 Best Film. ~AVN","Sex II: Fate","Sex II: Fate",https://www.imdb.com/title/tt0127839/,Video,5.1,,1995,"Adult",70,1995-08-18,"Michael Ninn",,
32,tt0197327,2014-08-20,2014-08-20,"28. Buttslammers      Bruce Seven Productions. D: Bruce Seven. Bionca, Ariana, Misty Rain, Others. (1993) The birth of what many consider to be the greatest all-girl line ever. With this volume, the late Bruce Seven - the hugely influential godfather of modern hardcore - created an insidiously scalding and instantly recognizable formula that consisted of (repeat after us)multiple pussy pileups, rubber surgical gloves, lots and lots of clear glistening oil and damn near every fu*kin' fake phallus in the Doc Johnson catalog. The result was AVN's 1993 Best All-Girl Feature, a tape that taught us all that bitches could play every bit as rough - rougher even - than bastards. We miss ya Uncle Brucie. ~AVN","All the Girls Are Buttslammers","All the Girls Are Buttslammers",https://www.imdb.com/title/tt0197327/,Video,6.9,75,1993,"Adult",23,,"Bruce Seven",,
33,tt0084405,2014-08-20,2014-08-20,"29. Never So Deep      VCX. D: Gerard Damiano. Loni Sanders, Brooke West, Lysa Thatcher, Mike Horner, Others. (1982) Gerard Damiano's caper/mystery with Loni Sanders as a private eye looking for a missing model. Dialogue scene where Sanders questions a hooker while both casually take turns sucking some guy's cock epitomizes Damiano's classic for-the-ages style. ~AVN","Never So Deep","Never So Deep",https://www.imdb.com/title/tt0084405/,Movie,6.1,87,1981,"Adult, Comedy, Drama",146,1981,"Gerard Damiano",,
34,tt0082044,2014-08-20,2014-08-20,"30. Bad Girls      Collector's Video. D: Svetlana. Lee Caroll, Pia Snow, John Leslie, Others. (1981) Being bad never looked so good for four foxy females who do the natural thing, frolicking and fu*king in the aptly named Rocky Mountains. Though the sex is softer when compared to today's standards (the movie is 20 years old, after all)it's hot enough to keep the solo set warm at night, but not burn couples looking for some vintage carnal fun. ~AVN","Bad Girls","Bad Girls",https://www.imdb.com/title/tt0082044/,Movie,6.3,82,1981,"Adult, Adventure, Comedy",437,1981-10-01,"David I. Frazer, Svetlana Mischoff",,
35,tt0082802,2014-08-20,2014-08-20,"31. Neon Nights      Command Video. D: Cecil Howard. Arcadia Lake, Veronica Hart, Eric Edwards, Others. (1981) Served up with Cecil Howard's usual high standard of production, Neon Nights is an off-beat coming of age story with a well-matched Lysa Thatcher trying to find out what, and who, she wants. Is it her stepfather (who her mother catches her in an affair with)? Or the magician (Jake Teague)? The businesswoman (Veronica Hart)? Though the sex is tame by today's standards, it does include an anal between Hart and Eric Edwards that should keep strokers content. ~AVN","Neon Nights","Neon Nights",https://www.imdb.com/title/tt0082802/,Movie,6.2,85,1981,"Adult, Fantasy, Mystery",219,1982-05-17,"Cecil Howard",,
36,tt0133536,2014-08-20,2014-08-20,"32. Body & Soul      Pinnacle/Odyssey Group. D: Michael Craig. Ashlyn Gere, Alex Jordan, Tyffany Million, Mike Horner, Others. (1994) Originally titled After Midnight, this video formed the center of a legal battle, which tried (but failed)to establish a court-approved definition of obscenity. It's the story of blocked writer Horner who's holed up in a seedy motel, trying to finish his screenplay, but who's haunted by a ghostly Gere (Best Actress of '94)who introduces him to unearthly sexual delights (in an AVN Award-winning encounter), much to the chagrin of girlfriend Jordan. ~AVN","Body and Soul","Body and Soul",https://www.imdb.com/title/tt0133536/,Video,5.9,,1994,"Adult, Fantasy, Romance",19,,"Michael Craig",,
37,tt0146480,2014-08-20,2014-08-20,"33. Between the Cheeks 2      VCA Pictures. D: Gregory Dark. Debi Diamond, Bionca, Blake Palmer, Others. (1990) Remember when plot-heavy features didn't take themselves too seriously? This is one of the better examples of the phenomenon. Better story here than the original, with strong anal sex. Typical wonderfully twisted Greg Dark humor involved Rip Hymen as a constipated mental patient who believes aliens are invading humans through their as*holes. The video won an AVN Award for Best Anal-Themed Tape. ~AVN","Between the Cheeks 2","Between the Cheeks 2",https://www.imdb.com/title/tt0146480/,Video,5.4,,1990,"Adult, Comedy, Fantasy",117,1990,"Gregory Dark",,
38,tt0137610,2014-08-20,2014-08-20,"34. Fresh Meat: A Ghost Story      John Leslie Productions/Evil Angel. D: John Leslie, Kristi Lynn, Joey Silvera, Ron Jeremy, Others. (1995). Goddamn, the awesome John Leslie was on some sort of creative tear in the mid-to-late '90s. Dog Walker (No. 9 on this list)in 1994, Drop Sex (No. 13)in 1997 and this one in 1995. Packaged, as was Drop Sex, in a dazzling Oliver Stone-like b&w/color/video/neo-film visual tapestry, Fresh Meat: A Ghost Story is an exuberantly weird mind trip (for those porn consumers who care about such things)and more importantly, one scorching motherfu*ker of a stroke tape. Anals, threesomes, gangbangs (Kristi Lynn, violently, in a convertible), Fresh Meat has them all and serves 'em up in one colossal casserole of carnal cholesterol. ~AVN","Fresh Meat: A Ghost Story","Fresh Meat: A Ghost Story",https://www.imdb.com/title/tt0137610/,Video,6.8,90,1995,"Adult",171,1995-01-11,"John Leslie",,
